Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,rsi_entry,rsi_exit,bb_std,exposure,acr_window,acr_factor
2013-07-24 17:59:00,2013-07-24 18:02:00,1.31965,1.31986,349644.65997770894,73.42537859533408,7763.568304255061,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-24 18:40:00,2013-07-24 18:42:00,1.31924,1.31882,353092.7642091687,-148.29896096780314,7615.2693432872575,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-24 18:43:00,2013-07-24 18:51:00,1.31891,1.31957,346434.6775725679,228.64688719785423,7843.916230485112,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-24 19:46:00,2013-07-24 19:54:00,1.31912,1.31883,356779.49984012573,-103.46605495368053,7740.450175531431,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-25 02:26:00,2013-07-25 02:34:00,1.32058,1.3211,351684.1164729784,182.8757405658974,7923.325916097328,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-25 04:23:00,2013-07-25 04:30:00,1.32047,1.31893,360022.98800112057,-554.4354015217606,7368.890514575568,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-25 04:31:00,2013-07-25 04:34:00,1.31934,1.31882,335117.127408048,-174.260906252136,7194.629608323432,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-25 16:54:00,2013-07-25 17:37:00,1.32759,1.32733,325158.9545713706,-84.54132818860481,7110.088280134827,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-25 19:44:00,2013-07-25 19:46:00,1.3271,1.32745,321456.783066905,112.50987407344005,7222.598154208267,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-25 23:21:00,2013-07-25 23:26:00,1.32781,1.32759,326368.9001080697,-71.80115802373844,7150.796996184529,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-26 04:53:00,2013-07-26 04:58:00,1.3281,1.32869,323053.8511942412,190.6017722045598,7341.398768389089,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-26 06:34:00,2013-07-26 07:01:00,1.32651,1.32743,332062.2732609217,305.49729140005854,7646.896059789147,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-26 08:07:00,2013-07-26 08:21:00,1.32598,1.32543,346018.61535419,-190.31023844474512,7456.585821344403,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-26 08:23:00,2013-07-26 08:31:00,1.32521,1.32611,337603.20951446495,303.84288856298497,7760.428709907387,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-26 11:42:00,2013-07-26 11:59:00,1.32575,1.32677,351216.83771030983,358.24117446452334,8118.6698843719105,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-26 14:56:00,2013-07-26 15:20:00,1.32752,1.32793,366940.00321073475,150.44540131640912,8269.11528568832,Signal Exit,35,55,1.75,0.6,20,1.5
2013-07-28 19:57:00,2013-07-28 20:01:00,1.32846,1.32834,373475.23985765415,-44.81702878288039,8224.29825690544,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-28 23:46:00,2013-07-28 23:52:00,1.32849,1.32834,371442.68712171447,-55.71640306820979,8168.5818538372305,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-28 23:59:00,2013-07-29 00:16:00,1.32828,1.3281,368984.63519004564,-66.41723433415174,8102.164619503079,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 00:44:00,2013-07-29 01:18:00,1.32757,1.32802,366180.22188674397,164.78109984905728,8266.945719352136,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-29 07:07:00,2013-07-29 07:08:00,1.32831,1.32793,373419.41501692234,-141.89937770644804,8125.046341645688,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 08:29:00,2013-07-29 08:45:00,1.32566,1.32487,367743.44892260554,-290.5173246488835,7834.529016996804,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 09:23:00,2013-07-29 09:26:00,1.32534,1.32496,354680.1130425462,-134.77844295618422,7699.7505740406195,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 09:36:00,2013-07-29 09:45:00,1.32478,1.32421,348725.852173521,-198.77373573889284,7500.976838301726,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 10:38:00,2013-07-29 10:45:00,1.32392,1.32543,339943.9620959753,513.3153827649643,8014.29222106669,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-29 18:28:00,2013-07-29 18:29:00,1.32603,1.32595,362629.45277557924,-29.01035622207535,7985.281864844615,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 18:30:00,2013-07-29 18:52:00,1.32597,1.32586,361333.14621799655,-39.74664608399931,7945.535218760615,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 18:56:00,2013-07-29 18:59:00,1.32583,1.32596,359572.57953556406,46.7444353396102,7992.279654100225,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-29 20:25:00,2013-07-29 20:28:00,1.32551,1.32532,361775.3010132051,-68.7373071924773,7923.542346907748,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-29 22:29:00,2013-07-29 22:59:00,1.32491,1.32536,358826.2907023608,161.4718308160844,8085.014177723832,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-30 02:32:00,2013-07-30 02:39:00,1.32511,1.32566,366083.4577230795,201.3459017477122,8286.360079471544,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-30 09:38:00,2013-07-30 09:42:00,1.32834,1.32768,374287.91180593264,-247.03002179195482,8039.330057679589,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-30 12:33:00,2013-07-30 12:43:00,1.32543,1.32522,363927.0300662994,-76.4246763139387,7962.90538136565,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-30 13:21:00,2013-07-30 13:55:00,1.32464,1.325,360682.39135307627,129.84566088707714,8092.7510422527275,Signal Exit,35,55,1.75,0.6,20,1.5
2013-07-30 18:58:00,2013-07-30 19:01:00,1.32602,1.32593,366182.3068544695,-32.95640761687424,8059.794634635853,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-30 19:04:00,2013-07-30 19:08:00,1.32581,1.32596,364748.8539671229,54.712328095102905,8114.506962730956,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-30 19:14:00,2013-07-30 19:19:00,1.32567,1.32596,367263.6612157304,106.50646175260718,8221.013424483563,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-30 23:21:00,2013-07-30 23:22:00,1.32553,1.32533,372123.4566316973,-74.42469132641389,8146.588733157148,Stop Loss,35,55,1.75,0.6,20,1.5
