ConditionIndex,FinalCash
122,1777920.1602519518
123,1420397.3239403318
124,955423.3555815357
125,133513.1672649493
126,4896555.163033308
127,9108881.54502927
128,5988900.796035707
129,4035115.680046034
130,2309913.454727154
131,1566870.3257522245
132,765150.386014248
133,3401511.353862591
134,4895303.313984232
135,8796754.884143101
136,6183281.929147392
137,4412966.5104859155
138,2554072.5240600235
139,208115.95678396287
140,15504223.329142926
141,30522667.5405725
142,17225675.96834727
143,9930150.991457852
144,4740022.8269714685
145,2791803.5790152
146,1117114.5099616894
147,10033097.123207508
148,14559795.085628595
149,27537203.237109523
150,16759451.037612997
151,10442667.31621846
152,5093280.936099527
153,237297.3134464049
154,40975609.42393146
155,83440117.50756133
156,39497815.35287021
157,18954708.23753595
158,7367373.000904752
159,3685726.2641969263
160,1185822.334390797
161,24715496.872381553
162,35383442.54191004
163,68901592.12974471
164,35374955.75026051
165,18802868.219968874
166,7567603.562488239
167,197588.01532298667
168,90387430.82392977
169,186048628.63152087
170,72175589.75572565
171,28023329.508142892
172,8658930.619055605
173,3597538.8973669624
174,913010.2622454857
175,50845873.71417875
176,70243023.65674704
177,137758980.96363258
178,58071493.33910353
179,25721682.38914072
180,8362252.657007507
181,119862.80586047709
182,166373523.57614714
183,338191925.4358922
184,105038742.41284342
185,32025764.68788546
186,7677876.190212847
187,2588713.0027939696
188,508279.8301502974
189,87331470.83291136
190,113851201.92531492
191,219954847.4325425
192,74004277.60580947
193,26675497.305213045
194,6855247.017605835
195,52810.63083838949
196,283620.3194746298
197,440190.1032576502
198,366637.119088579
199,311863.4918930219
200,239289.03865909862
201,201851.17619159678
202,138798.27378989416
203,227468.52750230112
204,301724.3926098255
205,458208.4850483061
206,398516.43660895765
207,348362.2877078671
208,266778.7649586457
209,62715.96939772939
210,1290439.6672935868
211,2217521.307687588
212,1659926.6040225718
213,1272938.5281441319
214,853563.292594354
215,652566.06143248
216,381679.7787122604
217,962900.4866878404
218,1344792.1459070465
219,2246095.2302883225
220,1777920.1602519518
221,1420397.3239403318
222,955423.3555815357
223,133513.1672649493
224,4896555.163033308
225,9108881.54502927
226,5988900.796035707
227,4035115.680046034
228,2309913.454727154
229,1566870.3257522245
230,765150.386014248
231,3401511.353862591
232,4895303.313984232
233,8796754.884143101
234,6183281.929147392
235,4412966.5104859155
236,2554072.5240600235
237,208115.95678396287
238,15504223.329142926
239,30522667.5405725
240,17225675.96834727
241,9930150.991457852
242,4740022.8269714685
243,2791803.5790152
244,1117114.5099616894
245,10033097.123207508
246,14559795.085628595
247,27537203.237109523
248,16759451.037612997
249,10442667.31621846
250,5093280.936099527
251,237297.3134464049
252,40975609.42393146
253,83440117.50756133
254,39497815.35287021
255,18954708.23753595
256,7367373.000904752
