Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
2013-03-26 00:32:00,2013-03-26 01:01:00,1.28636,1.28653,504462.5494102716,85.75863339974792,10901.099384389698,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-26 03:44:00,2013-03-26 04:52:00,1.28717,1.28637,508142.6408814546,-406.51411270511886,10494.585271684578,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-26 07:36:00,2013-03-26 08:23:00,1.28654,1.28614,489432.98793747154,-195.77319517496704,10298.812076509612,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-26 10:46:00,2013-03-26 14:09:00,1.28376,1.28537,481342.8714016457,774.9620229565963,11073.774099466209,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-26 19:52:00,2013-03-26 20:14:00,1.28592,1.28656,516693.45368916617,330.68381036105285,11404.457909827262,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-26 22:48:00,2013-03-27 00:59:00,1.28525,1.28432,532400.2914527413,-495.1322710511012,10909.325638776161,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-27 03:43:00,2013-03-27 08:15:00,1.28304,1.2775,510163.00218743744,-2826.3030321183414,8083.02260665782,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-27 12:48:00,2013-03-27 14:04:00,1.27724,1.27744,379710.43531322945,75.94208706263753,8158.964693720457,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-27 15:12:00,2013-03-27 15:59:00,1.2766,1.27719,383470.06237132027,226.24733679911364,8385.212030519571,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-27 18:37:00,2013-03-27 19:34:00,1.27781,1.27801,393730.46214317804,78.74609242871436,8463.958122948286,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-27 23:30:00,2013-03-28 00:18:00,1.27842,1.278,397238.3781362129,-166.84011881715574,8297.11800413113,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 02:15:00,2013-03-28 02:33:00,1.27867,1.27937,389331.946669483,272.5323626686081,8569.650366799739,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 03:36:00,2013-03-28 04:13:00,1.27869,1.28061,402113.8993876422,772.0586868242416,9341.70905362398,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 12:04:00,2013-03-28 14:12:00,1.28236,1.28226,437086.7332242418,-43.708673322419365,9298.00038030156,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 16:14:00,2013-03-28 16:40:00,1.28166,1.2818,435279.26502980007,60.939097104184626,9358.939477405745,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 17:40:00,2013-03-28 18:18:00,1.28144,1.28156,438207.30478551064,52.58487657431387,9411.52435398006,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 20:14:00,2013-03-28 20:39:00,1.28111,1.28164,440782.96261742053,233.61497018719737,9645.139324167258,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-28 23:36:00,2013-03-28 23:58:00,1.28263,1.28279,451188.85372245737,72.19021659566538,9717.329540762923,Signal Exit,0.006,0.02,35,55,1.75,0.6
2013-03-29 05:55:00,2013-03-29 06:19:00,1.28173,1.28183,454885.016692888,45.48850166928379,9762.818042432207,Signal Exit,0.006,0.02,35,55,1.75,0.6
