Prob,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
0.5092,2013-07-31 02:00:00,2013-07-31 02:02:00,1.32531,1.32546,63068.08721711651,9.460213,1402.5396575778518,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5337,2013-07-31 02:20:00,2013-07-31 02:21:00,1.32506,1.32495,63508.35392712113,-6.985919,1395.553738645879,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5033,2013-07-31 02:27:00,2013-07-31 02:33:00,1.32442,1.32457,63222.56105974898,9.483384,1405.0371228048475,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5051,2013-07-31 02:37:00,2013-07-31 02:42:00,1.32402,1.32443,63671.415362525375,26.10528,1431.1424031034842,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5307,2013-07-31 06:31:00,2013-07-31 06:35:00,1.32592,1.32557,64761.48197946259,-22.666519,1408.4758844106675,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5177,2013-07-31 08:32:00,2013-07-31 08:34:00,1.32149,1.32337,63949.44575035758,120.224958,1528.7008424213323,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5126,2013-07-31 12:43:00,2013-07-31 12:45:00,1.32783,1.32799,69076.65178921995,11.052264,1539.7531067076031,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5299,2013-07-31 15:50:00,2013-07-31 15:52:00,1.32938,1.32938,69494.94230577876,0.0,1539.7531067076031,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5164,2013-07-31 21:53:00,2013-07-31 21:54:00,1.32893,1.32863,69518.47456409005,-20.855542,1518.8975643383785,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5186,2013-07-31 22:07:00,2013-07-31 22:10:00,1.32851,1.32855,68598.54563405823,2.743942,1521.6415061637283,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.51,2013-07-31 23:50:00,2013-07-31 23:57:00,1.32726,1.32736,68787.19344350293,6.878719,1528.5202255080778,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5812,2013-08-01 01:17:00,2013-08-01 01:19:00,1.32704,1.32692,69109.60749524104,-8.293153,1520.227072608656,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5679,2013-08-01 01:22:00,2013-08-01 01:23:00,1.32662,1.32662,68756.40677550419,0.0,1520.227072608656,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5078,2013-08-01 04:25:00,2013-08-01 04:31:00,1.32289,1.32355,68950.271267089,45.507179,1565.734251644942,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5139,2013-08-01 10:23:00,2013-08-01 10:25:00,1.322,1.32181,71062.06890975531,-13.501793,1552.2324585520792,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5522,2013-08-01 11:33:00,2013-08-01 11:34:00,1.32274,1.32247,70409.86702838406,-19.010664,1533.2217944544159,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.539,2013-08-01 11:35:00,2013-08-01 11:37:00,1.3225,1.32248,69560.1570262873,-1.391203,1531.8305913138965,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5496,2013-08-01 12:02:00,2013-08-01 12:05:00,1.32143,1.32147,69553.31381823766,2.782133,1534.6127238666134,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5214,2013-08-01 13:03:00,2013-08-01 13:05:00,1.32058,1.32067,69724.48729497402,6.275204,1540.8879277231556,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5023,2013-08-01 13:06:00,2013-08-01 13:09:00,1.32046,1.32089,70015.96084954435,30.106863,1570.9947908884549,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5683,2013-08-01 14:53:00,2013-08-01 14:54:00,1.32149,1.32148,71328.33956617703,-0.713283,1570.2815074927885,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5226,2013-08-01 15:18:00,2013-08-01 15:19:00,1.32068,1.32057,71339.68141379236,-7.847365,1562.4341425372675,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5139,2013-08-01 16:54:00,2013-08-01 16:55:00,1.32075,1.32083,70979.40454456637,5.678352,1568.1124949008226,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5478,2013-08-01 19:23:00,2013-08-01 19:24:00,1.32049,1.32049,71251.39129720737,0.0,1568.1124949008226,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5179,2013-08-01 19:26:00,2013-08-01 19:27:00,1.3205,1.32049,71250.85171832591,-0.712509,1567.3999863836348,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5089,2013-08-01 21:03:00,2013-08-01 21:06:00,1.31999,1.32005,71245.99366890512,4.27476,1571.6747460037654,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
