combination_index,mean_final_cash,var_final_cash,mean_drawdown,var_drawdown,mean_rank,consistency_score
3424,1208.9644738307466,79121.69580641692,-97.16757861810284,6782.200711439903,5913.333333333333,-98870.80717858445
2974,1210.2273844246163,78037.48457148604,-123.93029424738926,10896.925894709266,5889.166666666667,-98916.74583520115
6504,1231.915232525333,80016.78528898013,-95.77715681424529,8247.212186184332,5848.083333333333,-98935.4863295792
1784,1220.3742540386627,79257.24013400848,-89.73644274288118,9769.765793974568,5920.0,-99589.11990458335
2944,1219.4168013771603,80166.00906285727,-85.49789912571138,7421.706759317315,5925.5,-99628.57845165265
2494,1208.5460454173272,79899.53372381344,-125.40261213679118,11734.660768023992,5894.5,-100070.77375373524
2464,1217.5766467295095,81974.37346460717,-87.11317257046129,8265.684792063774,5930.25,-100751.38099575797
4498,1148.193317482517,79404.12810977366,-112.76908773559512,8659.15644880674,6139.583333333333,-101715.36608681967
1334,1202.7675746124432,82132.96977005247,-129.36770353714968,14249.477953785205,5903.75,-101789.92321223198
18,1143.4879890756183,79459.36749356483,-112.76908773559512,8659.15644880674,6146.416666666667,-101816.0244404555
8978,1153.164482392609,79923.0091999947,-112.76908773559512,8659.15644880674,6129.583333333333,-101869.83546702011
11658,1156.2254674002404,80537.54469560528,-112.76908773559512,8659.15644880674,6125.25,-102130.70889648443
6024,1222.3942024366136,86143.23164205538,-97.96538799642019,9518.480074492112,5870.416666666667,-102486.4739165551
1304,1214.467014076808,84448.78068448332,-91.46325680913544,10849.995200419462,5937.75,-102584.86134529149
338,1165.4710512723957,83759.1017757936,-112.76908773559512,8659.15644880674,6108.75,-103567.24185270644
84,1119.5328306600086,79061.2881028772,-163.99352020570413,13320.14702123152,6245.5,-103579.3386810866
9784,1264.6875855887263,92395.45530210155,-91.13312063110125,8673.792558147441,5804.416666666667,-104739.30517994754
10744,1263.7227919388813,93391.7966120341,-86.75215937959474,6470.989660057123,5809.083333333333,-104843.2324272368
824,1204.8253960162367,89240.83795943428,-93.52469273990322,12233.262173777173,5963.666666666667,-105526.97009294498
854,1195.5268999018156,89370.64994870391,-131.71155012297325,15646.170639210533,5924.916666666667,-105907.71233399582
10264,1261.8685284434928,95369.41972154235,-88.42170699103633,7256.137370482658,5813.666666666667,-106037.2619851882
11044,1121.8206573089294,85216.75471893394,-166.77560696727485,14181.370961273706,6244.666666666667,-106819.53024316963
6,1560.236348887355,111968.18088212493,-83.18651802922112,3823.4472685798364,5176.25,-106975.99950129984
326,1561.6715727291457,112996.48286546775,-81.79973337438956,3913.1466477145605,5175.333333333333,-107497.07244289329
4486,1561.6715727291457,112996.48286546775,-81.79973337438956,3913.1466477145605,5176.333333333333,-107507.07244289329
8966,1561.6715727291457,112996.48286546775,-81.79973337438956,3913.1466477145605,5177.333333333333,-107517.07244289329
11646,1561.6715727291457,112996.48286546775,-81.79973337438956,3913.1466477145605,5178.333333333333,-107527.07244289329
9304,1258.6116714211953,97673.9992212502,-92.9179566965298,9703.290024968563,5822.083333333333,-107767.7546645399
12,1310.9478682500621,101238.59791109162,-111.56178692644039,7214.921563767057,5733.666666666667,-108121.47060279376
4528,1249.627125278632,96091.4429561296,-114.81345802184471,16023.962796819273,5828.0,-108315.33094955658
332,1313.8852004983364,101910.53042537523,-111.56178692644039,7214.921563767057,5731.166666666667,-108429.4995276873
4492,1313.8852004983364,101910.53042537523,-111.56178692644039,7214.921563767057,5732.166666666667,-108439.4995276873
8972,1313.8852004983364,101910.53042537523,-111.56178692644039,7214.921563767057,5733.166666666667,-108449.4995276873
11652,1313.8852004983364,101910.53042537523,-111.56178692644039,7214.921563767057,5734.166666666667,-108459.4995276873
11008,1255.0279584936054,96678.05447724373,-114.81345802184471,16023.962796819273,5820.916666666667,-108532.40254356535
11688,1258.3535109141637,97387.50000109825,-114.81345802184471,16023.962796819273,5817.25,-108847.13308640537
48,1244.1698889688819,97459.84422905826,-115.65182131446174,15953.288793981517,5836.583333333333,-109076.93886408422
4564,1118.3736703629168,89545.08122058121,-166.93185512984158,14244.862254507718,6257.083333333333,-109124.05228070151
8624,1247.9225666346554,99879.96984371464,-95.0486581239194,11032.397508293156,5842.083333333333,-109347.8897876518
